url,code,title,corrected_version,Publication date,Status,Edition,Number of pages,price_CF
https://www.iso.org/standard/3561.html,ISO 1:1975,Standard reference temperature for industrial length measurements,n.a,1975-04,Withdrawn,1,1,0
https://www.iso.org/standard/28086.html,ISO 1:2002,Geometrical Product Specifications (GPS) — Standard reference temperature for geometrical product specification and verification,n.a,2002-07,Withdrawn,2,3,0
https://www.iso.org/standard/67630.html,ISO 1:2016,Geometrical product specifications (GPS) — Standard reference temperature for the specification of geometrical and dimensional properties,n.a,2016-09,Published,3,4,38
https://www.iso.org/standard/4202.html,ISO 286-1:1988,"ISO system of limits and fits — Part 1: Bases of tolerances, deviations and fits",n.a,1988-09,Withdrawn,1,30,0
https://www.iso.org/standard/45975.html,ISO 286-1:2010,"Geometrical product specifications (GPS) — ISO code system for tolerances on linear sizes — Part 1: Basis of tolerances, deviations and fits",n.a,2010-04,Published,2,38,158
https://www.iso.org/standard/63968.html,ISO 286-1:2010/Cor 1:2013,"Geometrical product specifications (GPS) — ISO code system for tolerances on linear sizes — Part 1: Basis of tolerances, deviations and fits — Technical Corrigendum 1",n.a,2013-08,Published,2,4,0
https://www.iso.org/standard/4203.html,ISO 286-2:1988,ISO system of limits and fits — Part 2: Tables of standard tolerance grades and limit deviations for holes and shafts,n.a,1988-06,Withdrawn,1,43,0
https://www.iso.org/standard/44740.html,ISO 286-2:1988/Cor 1:2006,ISO system of limits and fits — Part 2: Tables of standard tolerance grades and limit deviations for holes and shafts — Technical Corrigendum 1,n.a,2006-09,Withdrawn,1,2,0
https://www.iso.org/standard/54915.html,ISO 286-2:2010,Geometrical product specifications (GPS) — ISO code system for tolerances on linear sizes — Part 2: Tables of standard tolerance classes and limit deviations for holes and shafts,n.a,2010-06,Published,2,52,178
https://www.iso.org/standard/63969.html,ISO 286-2:2010/Cor 1:2013,Geometrical product specifications (GPS) — ISO code system for tolerances on linear sizes — Part 2: Tables of standard tolerance classes and limit deviations for holes and shafts — Technical Corrigendum 1,2013-09,2013-08,Published,2,4,0
https://www.iso.org/standard/4201.html,ISO/R 286:1962,"ISO system of limits and fits — Part I : General, tolerances and deviations",n.a,1962-12,Withdrawn,1,66,0
https://www.iso.org/standard/4346.html,ISO 370:1975,Toleranced dimensions — Conversion from inches into millimetres and vice versa,n.a,1975-05,Withdrawn,1,6,0
https://www.iso.org/standard/4408.html,ISO 406:1987,Technical drawings — Tolerancing of linear and angular dimensions,n.a,1987-09,Withdrawn,2,4,0
https://www.iso.org/standard/42802.html,ISO 463:2006,Geometrical Product Specifications (GPS) — Dimensional measuring equipment — Design and metrological characteristics of mechanical dial gauges,n.a,2006-03,Published,1,14,88
https://www.iso.org/standard/46107.html,ISO 463:2006/Cor 1:2007,Geometrical Product Specifications (GPS) — Dimensional measuring equipment — Design and metrological characteristics of mechanical dial gauges — Technical Corrigendum 1,n.a,2007-06,Published,1,1,0
https://www.iso.org/standard/52987.html,ISO 463:2006/Cor 2:2009,Geometrical Product Specifications (GPS) — Dimensional measuring equipment — Design and metrological characteristics of mechanical dial gauges — Technical Corrigendum 2,n.a,2009-01,Published,1,2,0
https://www.iso.org/standard/4490.html,ISO/R 463:1965,"Dial gauges reading in 0.01 mm, 0.001 in and 0.0001 in",n.a,1965-12,Withdrawn,1,4,0
https://www.iso.org/standard/4496.html,ISO 468:1982,"Surface roughness — Parameters, their values and general rules for specifying requirements",n.a,1982-08,Withdrawn,1,3,0
https://www.iso.org/standard/5614.html,ISO 1101:1983,"Technical drawings — Geometrical tolerancing — Tolerancing of form, orientation, location and run-out — Generalities, definitions, symbols, indications on drawings",n.a,1983-12,Withdrawn,1,24,0
https://www.iso.org/standard/1147.html,ISO 1101:2004,"Geometrical Product Specifications (GPS) — Geometrical tolerancing — Tolerances of form, orientation, location and run-out",n.a,2004-12,Withdrawn,2,54,0
https://www.iso.org/standard/59490.html,ISO 1101:2012,"Geometrical product specifications (GPS) — Geometrical tolerancing — Tolerances of form, orientation, location and run-out",n.a,2012-04,Withdrawn,3,103,0
https://www.iso.org/standard/63512.html,ISO 1101:2012/Cor 1:2013,"Geometrical product specifications (GPS) — Geometrical tolerancing — Tolerances of form, orientation, location and run-out — Technical Corrigendum 1",n.a,2013-02,Withdrawn,3,2,0
https://www.iso.org/standard/66777.html,ISO 1101:2017,"Geometrical product specifications (GPS) — Geometrical tolerancing — Tolerances of form, orientation, location and run-out",n.a,2017-02,Published,4,145,198
https://www.iso.org/standard/5643.html,ISO 1119:1975,Series of conical tapers and taper angles,n.a,1975-06,Withdrawn,1,3,0
https://www.iso.org/standard/28068.html,ISO 1119:1998,Geometrical Product Specifications (GPS) — Series of conical tapers and taper angles,n.a,1998-09,Withdrawn,2,6,0
https://www.iso.org/standard/54835.html,ISO 1119:2011,Geometrical product specifications (GPS) — Series of conical tapers and taper angles,n.a,2011-12,Published,3,8,58
https://www.iso.org/standard/28089.html,ISO 1302:2002,Geometrical Product Specifications (GPS) — Indication of surface texture in technical product documentation,n.a,2002-02,Published,4,46,158
https://www.iso.org/standard/6280.html,ISO 1660:1987,Technical drawings — Dimensioning and tolerancing of profiles,n.a,1987-11,Withdrawn,2,5,0
https://www.iso.org/standard/63218.html,ISO 1660:2017,Geometrical product specifications (GPS) — Geometrical tolerancing — Profile tolerancing,n.a,2017-02,Published,3,45,158
https://www.iso.org/standard/6478.html,ISO 1829:1975,Selection of tolerance zones for general purposes,n.a,1975-06,Withdrawn,1,2,0
https://www.iso.org/standard/6554.html,ISO 1878:1983,Classification of instruments and devices for measurement and evaluation of the geometrical parameters of surface finish,n.a,1983-04,Withdrawn,2,2,0
https://www.iso.org/standard/6555.html,ISO 1879:1981,Instruments for the measurement of surface roughness by the profile method — Vocabulary,n.a,1981-12,Withdrawn,2,1,0
https://www.iso.org/standard/6556.html,ISO 1880:1979,Instruments for the measurement of surface roughness by the profile method — Contact (stylus) instruments of progressive profile transformation — Profile recording instruments,n.a,1979-11,Withdrawn,2,4,0
https://www.iso.org/standard/41132.html,ISO 1938-1:2015,Geometrical product specifications (GPS) — Dimensional measuring equipment — Part 1: Plain limit gauges of linear size,n.a,2015-11,Published,1,30,138
https://www.iso.org/standard/65583.html,ISO 1938-2:2017,Geometrical product specifications (GPS) — Dimensional measuring equipment — Part 2: Reference disk gauges,n.a,2017-01,Published,1,11,58
https://www.iso.org/standard/6628.html,ISO/R 1938:1971,ISO system of limits and fits — Part II : Inspection of plain workpieces,n.a,1971-04,Withdrawn,1,24,0
https://www.iso.org/standard/6671.html,ISO 1947:1973,System of cone tolerances for conical workpieces from C = 1:3 to 1:500 and lengths from 6 to 630 mm,n.a,1973-09,Withdrawn,1,12,0
https://www.iso.org/standard/54836.html,ISO 2538-1:2014,Geometrical product specifications (GPS) — Wedges — Part 1: Series of angles and slopes,n.a,2014-09,Published,1,8,58
https://www.iso.org/standard/56783.html,ISO 2538-2:2014,Geometrical product specifications (GPS) — Wedges — Part 2: Dimensioning and tolerancing,n.a,2014-09,Published,1,12,58
https://www.iso.org/standard/7483.html,ISO 2538:1974,Limits and fits — Series of angles and slopes on wedges and prisms,n.a,1974-04,Withdrawn,1,5,0
https://www.iso.org/standard/28069.html,ISO 2538:1998,Geometrical Product Specifications (GPS) — Series of angles and slopes on prisms,n.a,1998-09,Withdrawn,2,9,0
https://www.iso.org/standard/7618.html,ISO 2632-1:1975,"Roughness comparison specimens — Part 1: Turned, ground, bored, milled, shaped and planed",n.a,1975-05,Withdrawn,1,5,0
https://www.iso.org/standard/7619.html,ISO 2632-1:1985,"Roughness comparison specimens — Part 1: Turned, ground, bored, milled, shaped and planed",n.a,1985-09,Withdrawn,2,4,0
https://www.iso.org/standard/7620.html,ISO 2632-2:1977,"Roughness comparison specimens — Part 2: Spark-eroded, shot blasted and grit blasted, and polished",n.a,1977-07,Withdrawn,1,3,0
https://www.iso.org/standard/7621.html,ISO 2632-2:1985,"Roughness comparison specimens — Part 2: Spark-eroded, shot-blasted and grit-blasted, and polished",n.a,1985-11,Withdrawn,2,4,0
https://www.iso.org/standard/7622.html,ISO 2632-3:1979,Roughness comparison specimens — Part 3: Cast surfaces,n.a,1979-07,Withdrawn,1,4,0
https://www.iso.org/standard/7653.html,ISO 2692:1988,Technical drawings — Geometrical tolerancing — Maximum material principle,n.a,1988-12,Withdrawn,1,21,0
https://www.iso.org/standard/7655.html,ISO 2692:1988/Amd 1:1992,Technical drawings — Geometrical tolerancing — Maximum material principle — Amendment 1: Least material requirement,n.a,1992-10,Withdrawn,1,6,0
https://www.iso.org/standard/43445.html,ISO 2692:2006,"Geometrical product specifications (GPS) — Geometrical tolerancing — Maximum material requirement (MMR), least material requirement (LMR) and reciprocity requirement (RPR)",n.a,2006-12,Withdrawn,2,31,0
https://www.iso.org/standard/60775.html,ISO 2692:2014,"Geometrical product specifications (GPS) — Geometrical tolerancing — Maximum material requirement (MMR), least material requirement (LMR) and reciprocity requirement (RPR)",n.a,2014-12,Published,3,46,158
https://www.iso.org/standard/74592.html,ISO/DIS 2692,"Geometrical product specifications (GPS) — Geometrical tolerancing — Maximum material requirement (MMR), least material requirement (LMR) and reciprocity requirement (RPR)",n.a,n.a,Under development,4,61,58
https://www.iso.org/standard/7748.html,ISO 2768-1:1989,General tolerances — Part 1: Tolerances for linear and angular dimensions without individual tolerance indications,n.a,1989-11,Published,1,3,38
https://www.iso.org/standard/7749.html,ISO 2768-2:1989,General tolerances — Part 2: Geometrical tolerances for features without individual tolerance indications,n.a,1989-11,Published,1,8,58
https://www.iso.org/standard/7747.html,ISO 2768:1973,Permissible machining variations in dimensions without tolerance indication,n.a,1973-12,Withdrawn,1,2,0
