url,code,title,corrected_version,Publication date,Status,Edition,Number of pages,price_CF
https://www.iso.org/standard/67630.html,ISO 1:2016,Geometrical product specifications (GPS) — Standard reference temperature for the specification of geometrical and dimensional properties,n.a,2016-09,Published,3,4,38
https://www.iso.org/standard/42802.html,ISO 463:2006,Geometrical Product Specifications (GPS) — Dimensional measuring equipment — Design and metrological characteristics of mechanical dial gauges,n.a,2006-03,Published,1,14,88
https://www.iso.org/standard/46107.html,ISO 463:2006/Cor 1:2007,Geometrical Product Specifications (GPS) — Dimensional measuring equipment — Design and metrological characteristics of mechanical dial gauges — Technical Corrigendum 1,n.a,2007-06,Published,1,1,0
https://www.iso.org/standard/52987.html,ISO 463:2006/Cor 2:2009,Geometrical Product Specifications (GPS) — Dimensional measuring equipment — Design and metrological characteristics of mechanical dial gauges — Technical Corrigendum 2,n.a,2009-01,Published,1,2,0
https://www.iso.org/standard/4496.html,ISO 468:1982,"Surface roughness — Parameters, their values and general rules for specifying requirements",n.a,1982-08,Withdrawn,1,3,0
https://www.iso.org/standard/6555.html,ISO 1879:1981,Instruments for the measurement of surface roughness by the profile method — Vocabulary,n.a,1981-12,Withdrawn,2,1,0
https://www.iso.org/standard/6556.html,ISO 1880:1979,Instruments for the measurement of surface roughness by the profile method — Contact (stylus) instruments of progressive profile transformation — Profile recording instruments,n.a,1979-11,Withdrawn,2,4,0
https://www.iso.org/standard/54836.html,ISO 2538-1:2014,Geometrical product specifications (GPS) — Wedges — Part 1: Series of angles and slopes,n.a,2014-09,Published,1,8,58
https://www.iso.org/standard/56783.html,ISO 2538-2:2014,Geometrical product specifications (GPS) — Wedges — Part 2: Dimensioning and tolerancing,n.a,2014-09,Published,1,12,58
https://www.iso.org/standard/45454.html,ISO 3611:2010,Geometrical product specifications (GPS) — Dimensional measuring equipment: Micrometers for external measurements — Design and metrological characteristics,n.a,2010-11,Published,2,18,88
https://www.iso.org/standard/77951.html,ISO/CD 3611,Geometrical product specifications (GPS) — Dimensional measuring equipment: Micrometers for external measurements — Design and metrological characteristics,n.a,n.a,Under development,3,0
https://www.iso.org/standard/1241.html,ISO 3650:1998,Geometrical Product Specifications (GPS) — Length standards — Gauge blocks,n.a,1998-12,Published,2,15,88
https://www.iso.org/standard/52660.html,ISO 3650:1998/Cor 1:2008,Geometrical Product Specifications (GPS) — Length standards — Gauge blocks — Technical Corrigendum 1,n.a,2008-10,Published,2,0
https://www.iso.org/standard/10132.html,ISO 4287:1997,"Geometrical Product Specifications (GPS) — Surface texture: Profile method — Terms, definitions and surface texture parameters",n.a,1997-04,Published,1,25,118
https://www.iso.org/standard/44475.html,ISO 4287:1997/Amd 1:2009,"Geometrical Product Specifications (GPS) — Surface texture: Profile method — Terms, definitions and surface texture parameters — Amendment 1: Peak count number",n.a,2009-06,Published,1,1,16
https://www.iso.org/standard/29874.html,ISO 4287:1997/Cor 1:1998,"Geometrical Product Specifications (GPS) — Surface texture: Profile method — Terms, definitions and surface texture parameters — Technical Corrigendum 1",n.a,1998-05,Published,1,2,0
https://www.iso.org/standard/41861.html,ISO 4287:1997/Cor 2:2005,"Geometrical Product Specifications (GPS) — Surface texture: Profile method — Terms, definitions and surface texture parameters — Technical Corrigendum 2",n.a,2002-02,Published,1,2,0
https://www.iso.org/standard/2096.html,ISO 4288:1996,Geometrical Product Specifications (GPS) — Surface texture: Profile method — Rules and procedures for the assessment of surface texture,n.a,1996-08,Published,2,8,58
https://www.iso.org/standard/29875.html,ISO 4288:1996/Cor 1:1998,Geometrical Product Specifications (GPS) — Surface texture: Profile method — Rules and procedures for the assessment of surface texture — Technical Corrigendum 1,n.a,1998-06,Published,2,1,0
https://www.iso.org/standard/10135.html,ISO 4291:1985,Methods for the assessement of departure from roundness — Measurement of variations in radius,n.a,1985-09,Published,1,18,88
https://www.iso.org/standard/10136.html,ISO 4292:1985,Methods for the assessment of departure from roundness — Measurement by two- and three-point methods,n.a,1985-07,Withdrawn,1,8,0
https://www.iso.org/standard/21978.html,ISO 5436-1:2000,Geometrical Product Specifications (GPS) — Surface texture: Profile method; Measurement standards — Part 1: Material measures,n.a,2000-03,Published,1,14,88
