PRACTICE_ID,STATE,NUM_EPS_VM,GPRO,ELIG_UP_ADJUST,CATEGORY,VM_PAYMENT_ADJ,UPDATED_VM,COST_COMP_TIER_TEXT,QUAL_COMP_TIER_TEXT,ZB_COST_CMPSCR_POOL_RND,ZB_QUAL_CMPSCR_POOL_RND
10003426122,MO,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.01,-0.05
10019661417,NC,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.05,-1.04
10048140570,PA,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
10052842075,AR,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,1.57,.
10069351870,FL,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,1.17,-0.96
10077431929,MI,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.26,0.15
10084288435,CA,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.59,-0.47
10100889523,TX,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,.,.
10102858206,MA,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.19,.
10116668889,NV,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.19,.
10130134773,OH,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.87,.
10130308248,PA,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-1.53,.
10130875414,WI,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.01,.
10134368381,GA,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.26,0.14
10138759611,FL,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
10140945591,MN,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.31,0.61
10148393307,MO,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.01,.
10151765966,OH,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.12,0.14
10153996002,MN,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-2.17,-0.96
10155803394,OR,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.55,.
10159399722,TX,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,1.28,-1.05
10159594648,PA,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.31,.
10172159293,TX,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.16,-0.17
10174836051,PA,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,0.37,-0.99
10191813207,DE,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.49,.
10194123353,PA,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,0.03,0.79
10196125093,GA,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.01,0.79
10203245248,NC,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.03,-0.14
10231447979,CA,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-1.26,.
10264043618,PA,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.21,.
10265321157,MA,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,1.95,.
10268230658,MI,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
10270292126,LA,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,0.32,-0.65
10274467988,PA,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.17,-1.88
10287969737,NY,100+ EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.02,-0.71
10291652140,MN,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.43,.
10329004825,NY,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.11,.
10329994283,MN,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-1.35,0.08
10363941829,UT,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
10395429039,OH,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
10397025389,MN,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.23,-0.22
10403614345,IN,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.23,0.51
10412799342,FL,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,0.18,1.17
10414057400,NC,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
10418583821,MA,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.42,0.21
10422263474,MN,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
10423942735,AZ,100+ EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.26,0.68
10441489823,MN,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.07,.
10452849134,MN,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.29,0.30
10453815046,NY,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,0.71,.
10457914782,NY,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.35,.
10472163116,MN,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.27,0.79
10513593588,WA,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,0.07,0.15
10519471104,KS,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,0.16,0.44
