PRACTICE_ID,STATE,NUM_EPS_VM,GPRO,ELIG_UP_ADJUST,CATEGORY,VM_PAYMENT_ADJ,UPDATED_VM,COST_COMP_TIER_TEXT,QUAL_COMP_TIER_TEXT,ZB_COST_CMPSCR_POOL_RND,ZB_QUAL_CMPSCR_POOL_RND
10002412517,TX,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.72,-0.48
10002589901,NC,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.05,0.51
10003426122,MO,100+ EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,0.17,-0.06
10003932789,MS,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,High,Low,2.34,-2.59
10004016983,WI,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10004226706,NM,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.41,0.46
10005761360,SC,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.01,0.99
10006770567,CA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.03,0.80
10007557518,FL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,High,Average,2.32,-0.66
10008491504,CA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,.
10008801625,NE,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.62,-0.94
10008899998,PA,10 to 99 EPs,1,N/A,CAT2,-2.0%,.,N/A,N/A,0.36,.
10009385557,LA,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,.,.
10010528274,TN,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,0.51,.
10014078965,ID,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,0.21,.
10014696895,OH,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-0.45,.
10014803710,OK,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-1.45,0.04
10015838210,TX,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,High,Average,1.23,0.07
10015978513,NC,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.41
10016079310,PR,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10018823729,PR,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-0.91,.
10019661417,NC,100+ EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,0.18,-0.07
10020732668,IN,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.00,1.16
10022248440,MN,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.43
10022940271,TX,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.34
10023684572,NY,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-0.25,.
10024199260,IL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.26,0.21
10026144570,OH,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-0.62,.
10026546261,MI,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10027423776,CO,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,0.01,.
10029032496,TX,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.91,0.05
10030019465,FL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.28,0.81
10030285668,NY,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,0.08,-0.04
10030395585,TN,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.35,0.44
10030410686,NJ,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-0.72,.
10033123484,WV,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.09,0.33
10033349346,IL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.31
10033531548,PA,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10034577570,OH,100+ EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,0.34,0.74
10035672559,NH,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,0.94,0.81
10036338273,OH,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.05,0.34
10038308846,FL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.09,0.36
10042030036,MI,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,3.13,.
